School,Capacity,Cap_Rounds,Enroll_2025-26,CapPct_2025-26,Proj_2026-27,CapPct_2026-27,Proj_2027-28,CapPct_2027-28,Proj_2028-29,CapPct_2028-29,Proj_2029-30,CapPct_2029-30,Proj_2030-31,CapPct_2030-31,Change_Enroll,Change_Pct
Aspen Creek,440,3.0,472,107%,490,111%,503,114%,510,116%,511,116%,504,115%,32,7%
BC/SIS-HP,590,4.0,536,91%,529,90%,514,87%,520,88%,525,89%,526,89%,-10,-2%
Bear Creek,492,3.5,312,63%,299,61%,293,60%,288,59%,310,63%,320,65%,8,3%
Birch,418,3.0,259,62%,238,57%,215,51%,205,49%,211,50%,208,50%,-51,-20%
Coal Creek,492,3.5,269,55%,256,52%,252,51%,256,52%,251,51%,248,50%,-21,-8%
Columbine,590,4.0,313,53%,322,55%,322,55%,325,55%,321,54%,322,55%,9,3%
Creekside,369,2.5,288,78%,277,75%,252,68%,226,61%,223,60%,215,58%,-73,-25%
Crest View,615,4.0,330,54%,318,52%,304,49%,300,49%,310,50%,327,53%,-3,-1%
Douglass,418,3.0,281,67%,278,67%,278,67%,272,65%,277,66%,284,68%,3,1%
Eisenhower,492,3.5,265,54%,253,51%,246,50%,246,50%,247,50%,255,52%,-10,-4%
Eldorado,568,4.0,252,44%,253,45%,247,43%,248,44%,250,44%,249,44%,-3,-1%
Emerald,393,2.5,365,93%,355,90%,341,87%,337,86%,346,88%,345,88%,-20,-5%
Fireside,516,3.5,405,78%,385,75%,373,72%,358,69%,355,69%,359,70%,-46,-11%
Flatirons,320,2.0,151,47%,149,47%,144,45%,149,47%,146,46%,177,55%,26,17%
Foothill,565,4.0,434,77%,437,77%,444,79%,439,78%,432,76%,438,78%,4,1%
Gold Hill,49,0.5,11,22%,13,27%,13,27%,13,27%,12,24%,12,24%,1,9%
Heatherwood,492,3.5,225,46%,216,44%,209,42%,214,43%,203,41%,210,43%,-15,-7%
Jamestown,25,0.5,17,68%,19,76%,17,68%,16,64%,16,64%,14,56%,-3,-18%
Kohl,541,3.5,256,47%,258,48%,258,48%,256,47%,262,48%,266,49%,10,4%
Lafayette,565,4.0,450,80%,454,80%,435,77%,420,74%,411,73%,392,69%,-58,-13%
Louisville,590,4.0,382,65%,373,63%,363,62%,360,61%,355,60%,343,58%,-39,-10%
Meadowlark,441,3.0,471,107%,479,109%,511,116%,544,123%,577,131%,605,137%,134,28%
Mesa,418,3.0,224,54%,217,52%,203,49%,203,49%,202,48%,201,48%,-23,-10%
Monarch,381,2.5,264,69%,270,71%,258,68%,258,68%,274,72%,264,69%,0,0%
Montessori,369,2.5,193,52%,175,47%,172,47%,163,44%,167,45%,167,45%,-26,-13%
Nederland,467,3.0,166,36%,171,37%,166,36%,167,36%,169,36%,160,34%,-6,-4%
Pioneer,541,3.5,371,69%,349,65%,341,63%,337,62%,336,62%,343,63%,-28,-8%
Ryan,467,3.0,393,84%,381,82%,365,78%,348,75%,337,72%,346,74%,-47,-12%
Sanchez,418,3.0,276,66%,286,68%,284,68%,278,67%,289,69%,298,71%,22,8%
Superior,467,3.0,433,93%,425,91%,430,92%,434,93%,420,90%,433,93%,0,0%
University Hill,590,4.0,368,62%,359,61%,348,59%,336,57%,338,57%,345,58%,-23,-6%
Whittier,442,3.0,257,58%,256,58%,256,58%,247,56%,236,53%,232,52%,-25,-10%
