school,level,october_year,school_year,enrollment,max_enrollment,pct_of_max,KDG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH
ANGEVINE,Middle School,2014,2014-15,662.0,725.0,0.9131034482758621,,,,,,,,,,,,,
ANGEVINE,Middle School,2015,2015-16,725.0,725.0,1.0,,,,,,,,,,,,,
ANGEVINE,Middle School,2016,2016-17,711.0,725.0,0.9806896551724138,260.0,,,,,,,,,,,,
ANGEVINE,Middle School,2017,2017-18,672.0,725.0,0.926896551724138,237.0,,,,,,,,,,,,
ANGEVINE,Middle School,2018,2018-19,693.0,725.0,0.9558620689655173,,,,,,,,,,,,,
ANGEVINE,Middle School,2019,2019-20,691.0,725.0,0.953103448275862,224.0,,,,,,,,,,,,
ANGEVINE,Middle School,2020,2020-21,636.0,725.0,0.8772413793103448,229.0,,,,,,,,,,,,
ANGEVINE,Middle School,2021,2021-22,658.0,725.0,0.9075862068965517,207.0,,,,,,,,,,,,
ANGEVINE,Middle School,2022,2022-23,659.0,725.0,0.9089655172413793,226.0,,,,,,,,,,,,
ANGEVINE,Middle School,2023,2023-24,605.0,725.0,0.8344827586206897,201.0,203.0,201.0,,,,,,,,,,
ANGEVINE,Middle School,2024,2024-25,616.0,725.0,0.8496551724137931,197.0,204.0,215.0,,,,,,,,,,
ANGEVINE,Middle School,2025,2025-26,588.0,725.0,0.8110344827586207,188.0,203.0,197.0,,,,,,,,,,
ARAPAHOE RIDGE,High School,2014,2014-15,137.0,244.0,0.5614754098360656,,,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2015,2015-16,132.0,244.0,0.5409836065573771,,,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2016,2016-17,100.0,244.0,0.4098360655737705,29.0,48.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2017,2017-18,105.0,244.0,0.430327868852459,34.0,45.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2018,2018-19,141.0,244.0,0.5778688524590164,,,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2019,2019-20,88.0,244.0,0.36065573770491804,34.0,33.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2020,2020-21,135.0,244.0,0.5532786885245902,40.0,78.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2021,2021-22,135.0,244.0,0.5532786885245902,31.0,95.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2022,2022-23,206.0,244.0,0.8442622950819673,63.0,142.0,,,,,,,,,,,
ARAPAHOE RIDGE,High School,2023,2023-24,244.0,244.0,1.0,0.0,2.0,58.0,184.0,,,,,,,,,
ARAPAHOE RIDGE,High School,2024,2024-25,188.0,244.0,0.7704918032786885,0.0,1.0,51.0,136.0,,,,,,,,,
ARAPAHOE RIDGE,High School,2025,2025-26,184.0,244.0,0.7540983606557377,0.0,0.0,60.0,124.0,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2014,2014-15,437.0,446.0,0.9798206278026906,,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2015,2015-16,437.0,446.0,0.9798206278026906,,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2016,2016-17,432.0,446.0,0.968609865470852,143.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2017,2017-18,446.0,446.0,1.0,155.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2018,2018-19,424.0,446.0,0.9506726457399103,,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2019,2019-20,409.0,446.0,0.9170403587443946,143.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2020,2020-21,364.0,446.0,0.8161434977578476,131.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2021,2021-22,339.0,446.0,0.7600896860986547,128.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2022,2022-23,334.0,446.0,0.7488789237668162,133.0,,,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2023,2023-24,316.0,446.0,0.7085201793721974,104.0,108.0,104.0,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2024,2024-25,372.0,446.0,0.8340807174887892,138.0,116.0,118.0,,,,,,,,,,
ASPEN CREEK 6-8,Middle School,2025,2025-26,409.0,446.0,0.9170403587443946,143.0,142.0,124.0,,,,,,,,,,
ASPEN CREEK K-5,Elementary,2014,2014-15,524.0,524.0,1.0,,,,,,,,,,,,,
ASPEN CREEK K-5,Elementary,2015,2015-16,496.0,524.0,0.9465648854961832,,,,,,,,,,,,,
ASPEN CREEK K-5,Elementary,2016,2016-17,498.0,524.0,0.950381679389313,63.0,67.0,74.0,81.0,79.0,111.0,10.0,,,,,,
ASPEN CREEK K-5,Elementary,2017,2017-18,487.0,524.0,0.9293893129770993,64.0,82.0,73.0,88.0,78.0,81.0,11.0,,,,,,
ASPEN CREEK K-5,Elementary,2018,2018-19,457.0,524.0,0.8721374045801527,,,,,,,,,,,,,
ASPEN CREEK K-5,Elementary,2019,2019-20,445.0,524.0,0.8492366412213741,53.0,61.0,73.0,73.0,77.0,81.0,6.0,,,,,,
ASPEN CREEK K-5,Elementary,2020,2020-21,358.0,524.0,0.683206106870229,50.0,52.0,52.0,57.0,63.0,71.0,8.0,,,,,,
ASPEN CREEK K-5,Elementary,2021,2021-22,382.0,524.0,0.7290076335877863,52.0,60.0,59.0,57.0,60.0,77.0,11.0,,,,,,
ASPEN CREEK K-5,Elementary,2022,2022-23,399.0,524.0,0.7614503816793893,59.0,58.0,67.0,63.0,63.0,69.0,11.0,,,,,,
ASPEN CREEK K-5,Elementary,2023,2023-24,421.0,524.0,0.8034351145038168,61.0,67.0,72.0,72.0,76.0,73.0,34.0,,,,,,
ASPEN CREEK K-5,Elementary,2024,2024-25,471.0,524.0,0.898854961832061,98.0,59.0,70.0,76.0,86.0,82.0,,,,,,,
ASPEN CREEK K-5,Elementary,2025,2025-26,504.0,524.0,0.9618320610687023,99.0,74.0,74.0,80.0,86.0,91.0,,,,,,,
BCSIS,Elementary,2014,2014-15,307.0,308.0,0.9967532467532467,,,,,,,,,,,,,
BCSIS,Elementary,2015,2015-16,301.0,308.0,0.9772727272727273,,,,,,,,,,,,,
BCSIS,Elementary,2016,2016-17,308.0,308.0,1.0,52.0,50.0,56.0,54.0,,,,,,,,,
BCSIS,Elementary,2017,2017-18,304.0,308.0,0.987012987012987,52.0,51.0,55.0,53.0,,,,,,,,,
BCSIS,Elementary,2018,2018-19,306.0,308.0,0.9935064935064936,,,,,,,,,,,,,
BCSIS,Elementary,2019,2019-20,306.0,308.0,0.9935064935064936,50.0,52.0,54.0,54.0,,,,,,,,,
BCSIS,Elementary,2020,2020-21,286.0,308.0,0.9285714285714286,49.0,51.0,47.0,51.0,,,,,,,,,
BCSIS,Elementary,2021,2021-22,286.0,308.0,0.9285714285714286,47.0,50.0,50.0,44.0,,,,,,,,,
BCSIS,Elementary,2022,2022-23,284.0,308.0,0.922077922077922,50.0,48.0,52.0,53.0,,,,,,,,,
BCSIS,Elementary,2023,2023-24,264.0,308.0,0.8571428571428571,37.0,37.0,48.0,43.0,45.0,54.0,,,,,,,
BCSIS,Elementary,2024,2024-25,255.0,308.0,0.827922077922078,42.0,40.0,38.0,48.0,42.0,45.0,,,,,,,
BCSIS,Elementary,2025,2025-26,251.0,308.0,0.814935064935065,37.0,41.0,45.0,34.0,48.0,46.0,,,,,,,
BEAR CREEK,Elementary,2014,2014-15,417.0,448.0,0.9308035714285714,,,,,,,,,,,,,
BEAR CREEK,Elementary,2015,2015-16,441.0,448.0,0.984375,,,,,,,,,,,,,
BEAR CREEK,Elementary,2016,2016-17,438.0,448.0,0.9776785714285714,66.0,89.0,70.0,87.0,,,,,,,,,
BEAR CREEK,Elementary,2017,2017-18,448.0,448.0,1.0,74.0,67.0,91.0,73.0,,,,,,,,,
BEAR CREEK,Elementary,2018,2018-19,425.0,448.0,0.9486607142857143,,,,,,,,,,,,,
BEAR CREEK,Elementary,2019,2019-20,402.0,448.0,0.8973214285714286,79.0,70.0,83.0,72.0,,,,,,,,,
BEAR CREEK,Elementary,2020,2020-21,342.0,448.0,0.7633928571428571,47.0,70.0,69.0,81.0,,,,,,,,,
BEAR CREEK,Elementary,2021,2021-22,346.0,448.0,0.7723214285714286,53.0,54.0,77.0,72.0,,,,,,,,,
BEAR CREEK,Elementary,2022,2022-23,340.0,448.0,0.7589285714285714,45.0,57.0,57.0,81.0,,,,,,,,,
BEAR CREEK,Elementary,2023,2023-24,299.0,448.0,0.6674107142857143,33.0,53.0,49.0,45.0,59.0,60.0,16.0,,,,,,
BEAR CREEK,Elementary,2024,2024-25,318.0,448.0,0.7098214285714286,51.0,39.0,54.0,54.0,57.0,63.0,,,,,,,
BEAR CREEK,Elementary,2025,2025-26,312.0,448.0,0.6964285714285714,48.0,46.0,42.0,56.0,58.0,62.0,,,,,,,
BIRCH,Elementary,2014,2014-15,383.0,410.0,0.9341463414634147,,,,,,,,,,,,,
BIRCH,Elementary,2015,2015-16,407.0,410.0,0.9926829268292683,,,,,,,,,,,,,
BIRCH,Elementary,2016,2016-17,407.0,410.0,0.9926829268292683,63.0,65.0,75.0,65.0,45.0,55.0,12.0,,,,,,
BIRCH,Elementary,2017,2017-18,410.0,410.0,1.0,69.0,59.0,62.0,72.0,57.0,51.0,5.0,,,,,,
BIRCH,Elementary,2018,2018-19,375.0,410.0,0.9146341463414634,,,,,,,,,,,,,
BIRCH,Elementary,2019,2019-20,384.0,410.0,0.9365853658536586,55.0,55.0,63.0,57.0,54.0,62.0,6.0,,,,,,
BIRCH,Elementary,2020,2020-21,322.0,410.0,0.7853658536585366,40.0,56.0,54.0,52.0,54.0,42.0,4.0,,,,,,
BIRCH,Elementary,2021,2021-22,329.0,410.0,0.802439024390244,52.0,37.0,49.0,57.0,59.0,52.0,7.0,,,,,,
BIRCH,Elementary,2022,2022-23,332.0,410.0,0.8097560975609757,48.0,54.0,44.0,50.0,55.0,60.0,6.0,,,,,,
BIRCH,Elementary,2023,2023-24,279.0,410.0,0.6804878048780488,36.0,49.0,51.0,43.0,47.0,53.0,35.0,,,,,,
BIRCH,Elementary,2024,2024-25,277.0,410.0,0.675609756097561,49.0,37.0,47.0,51.0,45.0,48.0,,,,,,,
BIRCH,Elementary,2025,2025-26,257.0,410.0,0.6268292682926829,38.0,42.0,34.0,43.0,51.0,49.0,,,,,,,
BOULDER,High School,2014,2014-15,1947.0,2169.0,0.8976486860304288,,,,,,,,,,,,,
BOULDER,High School,2015,2015-16,1978.0,2169.0,0.9119409866297833,,,,,,,,,,,,,
BOULDER,High School,2016,2016-17,1997.0,2169.0,0.9207007837713231,497.0,450.0,,,,,,,,,,,
BOULDER,High School,2017,2017-18,2067.0,2169.0,0.9529737206085753,488.0,487.0,,,,,,,,,,,
BOULDER,High School,2018,2018-19,2092.0,2169.0,0.9644997694790226,,,,,,,,,,,,,
BOULDER,High School,2019,2019-20,2169.0,2169.0,1.0,540.0,494.0,,,,,,,,,,,
BOULDER,High School,2020,2020-21,2136.0,2169.0,0.9847856154910097,578.0,522.0,,,,,,,,,,,
BOULDER,High School,2021,2021-22,2136.0,2169.0,0.9847856154910097,499.0,582.0,,,,,,,,,,,
BOULDER,High School,2022,2022-23,2075.0,2169.0,0.9566620562471185,506.0,496.0,,,,,,,,,,,
BOULDER,High School,2023,2023-24,2020.0,2169.0,0.9313047487321346,457.0,564.0,497.0,502.0,,,,,,,,,
BOULDER,High School,2024,2024-25,1916.0,2169.0,0.8833563854310742,469.0,440.0,518.0,489.0,,,,,,,,,
BOULDER,High School,2025,2025-26,1768.0,2169.0,0.8151221761180267,408.0,446.0,410.0,504.0,,,,,,,,,
BOULDER EXPLORE,Other Program,2014,2014-15,34.0,36.0,0.9444444444444444,,,,,,,,,,,,,
BOULDER EXPLORE,Other Program,2015,2015-16,36.0,36.0,1.0,,,,,,,,,,,,,
BOULDER EXPLORE,Other Program,2016,2016-17,11.0,36.0,0.3055555555555556,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BOULDER PREP,High School,2014,2014-15,113.0,119.0,0.9495798319327731,,,,,,,,,,,,,
BOULDER PREP,High School,2015,2015-16,94.0,119.0,0.7899159663865546,,,,,,,,,,,,,
BOULDER PREP,High School,2016,2016-17,117.0,119.0,0.9831932773109243,39.0,61.0,,,,,,,,,,,
BOULDER PREP,High School,2017,2017-18,86.0,119.0,0.7226890756302521,18.0,49.0,,,,,,,,,,,
BOULDER PREP,High School,2018,2018-19,100.0,119.0,0.8403361344537815,,,,,,,,,,,,,
BOULDER PREP,High School,2019,2019-20,115.0,119.0,0.9663865546218487,28.0,54.0,,,,,,,,,,,
BOULDER PREP,High School,2020,2020-21,104.0,119.0,0.8739495798319328,35.0,53.0,,,,,,,,,,,
BOULDER PREP,High School,2021,2021-22,107.0,119.0,0.8991596638655462,22.0,58.0,,,,,,,,,,,
BOULDER PREP,High School,2022,2022-23,119.0,119.0,1.0,40.0,36.0,,,,,,,,,,,
BOULDER PREP,High School,2023,2023-24,114.0,119.0,0.957983193277311,7.0,22.0,32.0,53.0,,,,,,,,,
BOULDER PREP,High School,2024,2024-25,112.0,119.0,0.9411764705882353,6.0,25.0,26.0,55.0,,,,,,,,,
BOULDER PREP,High School,2025,2025-26,93.0,119.0,0.7815126050420168,6.0,14.0,31.0,42.0,,,,,,,,,
BOULDER UNIVERSAL,High School,2016,2016-17,63.0,320.0,0.196875,15.0,23.0,,,,,,,,,,,
BOULDER UNIVERSAL,High School,2017,2017-18,68.0,320.0,0.2125,14.0,31.0,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2018,2018-19,5.0,320.0,0.015625,,,,,,,,,,,,,
BOULDER UNIVERSAL,High School,2018,2018-19,4.0,320.0,0.0125,,,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2019,2019-20,2.0,320.0,0.00625,0.0,0.0,0.0,2.0,,,,,,,,,
BOULDER UNIVERSAL,High School,2019,2019-20,55.0,320.0,0.171875,18.0,20.0,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2020,2020-21,320.0,320.0,1.0,47.0,67.0,68.0,60.0,,,,,,,,,
BOULDER UNIVERSAL,High School,2020,2020-21,296.0,320.0,0.925,85.0,69.0,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2021,2021-22,98.0,320.0,0.30625,14.0,18.0,12.0,29.0,,,,,,,,,
BOULDER UNIVERSAL,High School,2021,2021-22,209.0,320.0,0.653125,61.0,68.0,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2022,2022-23,37.0,320.0,0.115625,2.0,7.0,9.0,9.0,,,,,,,,,
BOULDER UNIVERSAL,High School,2022,2022-23,129.0,320.0,0.403125,39.0,46.0,,,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2023,2023-24,42.0,320.0,0.13125,3.0,5.0,9.0,5.0,10.0,10.0,,,,,,,
BOULDER UNIVERSAL,High School,2023,2023-24,126.0,320.0,0.39375,15.0,30.0,34.0,47.0,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2024,2024-25,48.0,320.0,0.15,8.0,6.0,8.0,9.0,5.0,12.0,,,,,,,
BOULDER UNIVERSAL,High School,2024,2024-25,130.0,320.0,0.40625,16.0,29.0,50.0,35.0,,,,,,,,,
BOULDER UNIVERSAL,Elementary,2025,2025-26,39.0,320.0,0.121875,2.0,7.0,7.0,7.0,10.0,6.0,,,,,,,
BOULDER UNIVERSAL,High School,2025,2025-26,147.0,320.0,0.459375,23.0,37.0,36.0,51.0,,,,,,,,,
BROOMFIELD,High School,2014,2014-15,1433.0,1691.0,0.8474275576581904,,,,,,,,,,,,,
BROOMFIELD,High School,2015,2015-16,1433.0,1691.0,0.8474275576581904,,,,,,,,,,,,,
BROOMFIELD,High School,2016,2016-17,1606.0,1691.0,0.9497338852749853,424.0,349.0,,,,,,,,,,,
BROOMFIELD,High School,2017,2017-18,1591.0,1691.0,0.9408633944411591,402.0,406.0,,,,,,,,,,,
BROOMFIELD,High School,2018,2018-19,1574.0,1691.0,0.9308101714961561,,,,,,,,,,,,,
BROOMFIELD,High School,2019,2019-20,1561.0,1691.0,0.9231224127735068,355.0,400.0,,,,,,,,,,,
BROOMFIELD,High School,2020,2020-21,1538.0,1691.0,0.9095209934949734,384.0,342.0,,,,,,,,,,,
BROOMFIELD,High School,2021,2021-22,1609.0,1691.0,0.9515079834417505,388.0,373.0,,,,,,,,,,,
BROOMFIELD,High School,2022,2022-23,1648.0,1691.0,0.9745712596096984,414.0,377.0,,,,,,,,,,,
BROOMFIELD,High School,2023,2023-24,1691.0,1691.0,1.0,445.0,426.0,414.0,406.0,,,,,,,,,
BROOMFIELD,High School,2024,2024-25,1686.0,1691.0,0.997043169722058,408.0,450.0,406.0,422.0,,,,,,,,,
BROOMFIELD,High School,2025,2025-26,1658.0,1691.0,0.9804849201655825,405.0,410.0,436.0,407.0,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2014,2014-15,550.0,565.0,0.9734513274336283,,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2015,2015-16,547.0,565.0,0.968141592920354,,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2016,2016-17,520.0,565.0,0.9203539823008849,176.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2017,2017-18,545.0,565.0,0.9646017699115044,191.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2018,2018-19,565.0,565.0,1.0,,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2019,2019-20,564.0,565.0,0.9982300884955753,186.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2020,2020-21,523.0,565.0,0.9256637168141593,165.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2021,2021-22,515.0,565.0,0.911504424778761,199.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2022,2022-23,489.0,565.0,0.8654867256637168,180.0,,,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2023,2023-24,498.0,565.0,0.8814159292035398,181.0,169.0,148.0,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2024,2024-25,489.0,565.0,0.8654867256637168,149.0,177.0,163.0,,,,,,,,,,
BROOMFIELD HEIGHTS,Middle School,2025,2025-26,483.0,565.0,0.8548672566371681,147.0,141.0,195.0,,,,,,,,,,
CASEY,Middle School,2014,2014-15,607.0,672.0,0.9032738095238095,,,,,,,,,,,,,
CASEY,Middle School,2015,2015-16,632.0,672.0,0.9404761904761905,,,,,,,,,,,,,
CASEY,Middle School,2016,2016-17,652.0,672.0,0.9702380952380952,216.0,,,,,,,,,,,,
CASEY,Middle School,2017,2017-18,672.0,672.0,1.0,225.0,,,,,,,,,,,,
CASEY,Middle School,2018,2018-19,668.0,672.0,0.9940476190476191,,,,,,,,,,,,,
CASEY,Middle School,2019,2019-20,639.0,672.0,0.9508928571428571,247.0,,,,,,,,,,,,
CASEY,Middle School,2020,2020-21,507.0,672.0,0.7544642857142857,182.0,,,,,,,,,,,,
CASEY,Middle School,2021,2021-22,499.0,672.0,0.7425595238095238,176.0,,,,,,,,,,,,
CASEY,Middle School,2022,2022-23,454.0,672.0,0.6755952380952381,164.0,,,,,,,,,,,,
CASEY,Middle School,2023,2023-24,390.0,672.0,0.5803571428571429,100.0,136.0,154.0,,,,,,,,,,
CASEY,Middle School,2024,2024-25,360.0,672.0,0.5357142857142857,113.0,110.0,137.0,,,,,,,,,,
CASEY,Middle School,2025,2025-26,321.0,672.0,0.47767857142857145,99.0,117.0,105.0,,,,,,,,,,
CENTAURUS,High School,2014,2014-15,1019.0,1598.0,0.6376720901126408,,,,,,,,,,,,,
CENTAURUS,High School,2015,2015-16,1020.0,1598.0,0.6382978723404256,,,,,,,,,,,,,
CENTAURUS,High School,2016,2016-17,1141.0,1598.0,0.714017521902378,285.0,242.0,,,,,,,,,,,
CENTAURUS,High School,2017,2017-18,1234.0,1598.0,0.772215269086358,259.0,273.0,,,,,,,,,,,
CENTAURUS,High School,2018,2018-19,1308.0,1598.0,0.818523153942428,,,,,,,,,,,,,
CENTAURUS,High School,2019,2019-20,1454.0,1598.0,0.9098873591989988,354.0,313.0,,,,,,,,,,,
CENTAURUS,High School,2020,2020-21,1484.0,1598.0,0.9286608260325406,370.0,338.0,,,,,,,,,,,
CENTAURUS,High School,2021,2021-22,1598.0,1598.0,1.0,370.0,380.0,,,,,,,,,,,
CENTAURUS,High School,2022,2022-23,1522.0,1598.0,0.9524405506883604,381.0,364.0,,,,,,,,,,,
CENTAURUS,High School,2023,2023-24,1560.0,1598.0,0.9762202753441802,428.0,356.0,388.0,388.0,,,,,,,,,
CENTAURUS,High School,2024,2024-25,1537.0,1598.0,0.9618272841051314,389.0,409.0,344.0,395.0,,,,,,,,,
CENTAURUS,High School,2025,2025-26,1551.0,1598.0,0.9705882352941176,413.0,390.0,398.0,350.0,,,,,,,,,
CENTENNIAL,Middle School,2014,2014-15,595.0,646.0,0.9210526315789473,,,,,,,,,,,,,
